jammer                    CNN stealth edge   BER there   BER@-16dB
noise                             -46.7 dB    0.00e+00    0.00e+00
pulsed_p1                         -46.7 dB    0.00e+00    0.00e+00
pulsed_p0.1                       -47.6 dB    0.00e+00    8.39e-05
eff                               -49.5 dB    0.00e+00    1.53e-03
kurtosis_b1                       -49.4 dB    0.00e+00    1.18e-03
kurtosis_b10                      -46.5 dB    0.00e+00    1.53e-03
kurtosis_b100                     -49.1 dB    0.00e+00    1.82e-03
kurtosis_b1000                    -49.7 dB    0.00e+00    1.08e-03
plain_run001                      -49.6 dB    0.00e+00    0.00e+00
plain_run001_smoke                -53.4 dB          --    0.00e+00
power_one_sided_b1                -49.7 dB    0.00e+00    1.77e-03
power_one_sided_b10               -49.4 dB    0.00e+00    1.30e-03
power_one_sided_b100              -49.8 dB    0.00e+00    1.58e-03
power_one_sided_b1000             -49.6 dB    0.00e+00    9.69e-04
power_two_sided_b1                -46.4 dB    0.00e+00    7.93e-04
power_two_sided_b10               -49.8 dB    0.00e+00    1.47e-03
power_two_sided_b100              -49.8 dB    0.00e+00    1.50e-03
power_two_sided_b1000             -49.5 dB    0.00e+00    5.11e-04
spec_cnn_b1                       -46.7 dB    0.00e+00    2.33e-03
spec_cnn_b10                      -44.4 dB    0.00e+00    2.44e-03
spec_cnn_b100                     -46.5 dB    0.00e+00    1.99e-03
spec_cnn_b1000                    -43.5 dB    0.00e+00    8.93e-04
spec_cnn_b10000                   -46.3 dB    0.00e+00    0.00e+00
spec_cnn_b100000                  -48.1 dB    0.00e+00    0.00e+00
spec_cnn_b1e+06                   -46.7 dB    0.00e+00    0.00e+00
