node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
ebno_2.5: no=0.41 e_thresh=2.6621 | clean BER 0.13107 FAR cnn 0.2571 energy 0.0107 suite 0.2676
  N_J=1 n= 1 p=0.01      | BER 0.1270 cnn 0.262 en 0.020 suite 0.279 JSR -37.3 dB
  N_J=1 n= 2 p=0.01      | BER 0.1367 cnn 0.289 en 0.021 suite 0.311 JSR -33.9 dB
  N_J=1 n= 4 p=0.01      | BER 0.1317 cnn 0.285 en 0.008 suite 0.293 JSR -31.0 dB
  N_J=1 n= 8 p=0.01      | BER 0.1264 cnn 0.285 en 0.020 suite 0.299 JSR -28.3 dB
  N_J=1 n=16 p=0.01      | BER 0.1283 cnn 0.283 en 0.006 suite 0.289 JSR -25.1 dB
  N_J=1 n=32 p=0.01      | BER 0.1310 cnn 0.256 en 0.023 suite 0.275 JSR -22.2 dB
  N_J=1 n=52 p=0.01      | BER 0.1346 cnn 0.277 en 0.008 suite 0.285 JSR -19.9 dB
  N_J=1 n= 1 p=0.017783  | BER 0.1250 cnn 0.289 en 0.014 suite 0.303 JSR -34.4 dB
  N_J=1 n= 2 p=0.017783  | BER 0.1295 cnn 0.273 en 0.020 suite 0.291 JSR -31.7 dB
  N_J=1 n= 4 p=0.017783  | BER 0.1303 cnn 0.260 en 0.006 suite 0.266 JSR -28.8 dB
  N_J=1 n= 8 p=0.017783  | BER 0.1340 cnn 0.254 en 0.006 suite 0.260 JSR -25.2 dB
  N_J=1 n=16 p=0.017783  | BER 0.1255 cnn 0.254 en 0.020 suite 0.273 JSR -22.8 dB
  N_J=1 n=32 p=0.017783  | BER 0.1336 cnn 0.264 en 0.010 suite 0.273 JSR -19.4 dB
  N_J=1 n=52 p=0.017783  | BER 0.1298 cnn 0.295 en 0.014 suite 0.307 JSR -17.7 dB
  N_J=1 n= 1 p=0.031623  | BER 0.1259 cnn 0.260 en 0.014 suite 0.271 JSR -32.0 dB
  N_J=1 n= 2 p=0.031623  | BER 0.1289 cnn 0.301 en 0.014 suite 0.309 JSR -29.0 dB
  N_J=1 n= 4 p=0.031623  | BER 0.1302 cnn 0.275 en 0.016 suite 0.291 JSR -26.0 dB
  N_J=1 n= 8 p=0.031623  | BER 0.1324 cnn 0.279 en 0.010 suite 0.289 JSR -22.8 dB
  N_J=1 n=16 p=0.031623  | BER 0.1299 cnn 0.254 en 0.010 suite 0.264 JSR -20.0 dB
  N_J=1 n=32 p=0.031623  | BER 0.1331 cnn 0.314 en 0.010 suite 0.324 JSR -16.9 dB
  N_J=1 n=52 p=0.031623  | BER 0.1360 cnn 0.273 en 0.018 suite 0.291 JSR -15.2 dB
  N_J=1 n= 1 p=0.056234  | BER 0.1320 cnn 0.254 en 0.010 suite 0.264 JSR -29.5 dB
  N_J=1 n= 2 p=0.056234  | BER 0.1302 cnn 0.283 en 0.008 suite 0.291 JSR -26.6 dB
  N_J=1 n= 4 p=0.056234  | BER 0.1315 cnn 0.271 en 0.010 suite 0.279 JSR -23.9 dB
  N_J=1 n= 8 p=0.056234  | BER 0.1299 cnn 0.285 en 0.016 suite 0.301 JSR -20.8 dB
