CUDA: True
Run 004
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
Frozen detector loaded (black-box: score only, no gradients)
Agents: 2x JammerAgent (NSF, blind/causal), Critic: CTDE MLP, total params: 1,436,417

Training: iters 0..390 (100000 frames, batch=256)
Observation: CAUSAL tx[t-1] (blind for data, pilot-aware at t=3,12)
Threat model: black-box (score-based, no detector gradients)

iter    0/390 | BER=0.013 P(jam)=0.429 β_eff=0.000 rew=-0.003 pow=0.32 pilot_r=1.01 | ent=179.3 c_loss=0.006 | 9.4 fps | 27s
iter   10/390 | BER=0.013 P(jam)=0.442 β_eff=0.015 rew=-0.020 pow=0.32 pilot_r=1.00 | ent=179.4 c_loss=0.020 | 9.8 fps | 287s
iter   20/390 | BER=0.013 P(jam)=0.396 β_eff=0.030 rew=-0.030 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=0.051 | 9.8 fps | 548s
iter   30/390 | BER=0.013 P(jam)=0.392 β_eff=0.045 rew=-0.041 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=0.109 | 9.8 fps | 810s
iter   40/390 | BER=0.013 P(jam)=0.364 β_eff=0.060 rew=-0.054 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=0.230 | 9.8 fps | 1070s
iter   50/390 | BER=0.013 P(jam)=0.388 β_eff=0.075 rew=-0.074 pow=0.32 pilot_r=0.99 | ent=179.3 c_loss=0.444 | 9.8 fps | 1330s
iter   60/390 | BER=0.013 P(jam)=0.368 β_eff=0.090 rew=-0.084 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=0.629 | 9.8 fps | 1593s
iter   70/390 | BER=0.014 P(jam)=0.374 β_eff=0.105 rew=-0.084 pow=0.32 pilot_r=0.99 | ent=179.3 c_loss=0.535 | 9.8 fps | 1853s
iter   80/390 | BER=0.013 P(jam)=0.370 β_eff=0.120 rew=-0.100 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=0.915 | 9.8 fps | 2115s
iter   90/390 | BER=0.013 P(jam)=0.359 β_eff=0.135 rew=-0.108 pow=0.32 pilot_r=0.99 | ent=179.3 c_loss=0.940 | 9.8 fps | 2375s
iter  100/390 | BER=0.013 P(jam)=0.382 β_eff=0.150 rew=-0.143 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=1.833 | 9.8 fps | 2636s
iter  110/390 | BER=0.013 P(jam)=0.372 β_eff=0.165 rew=-0.144 pow=0.32 pilot_r=0.99 | ent=179.3 c_loss=1.879 | 9.8 fps | 2898s
iter  120/390 | BER=0.013 P(jam)=0.396 β_eff=0.180 rew=-0.161 pow=0.32 pilot_r=1.00 | ent=179.3 c_loss=2.035 | 9.8 fps | 3158s
